　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　七宗罪　　　　　　　　　	   8.8    	  498484  	警察抓小偷，老鼠玩死猫。
　　　　　被嫌弃的松子的一生　　　　　　	   8.9    	  353601  	以戏谑来戏谑戏谑。　
　　　　　　　　致命魔术　　　　　　　　	   8.8    	  405348  	孪生蝙蝠侠大战克隆金刚狼。
　　　　　　　天使爱美丽　　　　　　　　	   8.7    	  555174  	法式小清新。 　　　
　　　　　　本杰明·巴顿奇事　　　　　　	   8.8    	  459972  	在时间之河里感受溺水之苦。
　　　　　　西西里的美丽传说　　　　　　	   8.8    	  425297  	美丽无罪。　　　　　
　　　　　　　　音乐之声　　　　　　　　	   8.9    	  270917  	用音乐化解仇恨，让歌声串起美好。
　　　　　　　　黑客帝国　　　　　　　　	   8.9    	  336097  	视觉革命。　　　　　
　　　　　　　　让子弹飞　　　　　　　　	   8.7    	  747089  	你给我翻译翻译，神马叫做TMD的惊喜。
　　　　　　　拯救大兵瑞恩　　　　　　　	   8.9    	  287912  	美利坚精神输出大片No1.
　　　　　　　看不见的客人　　　　　　　	   8.7    	  441877  	你以为你以为的就是你以为的。
　　　　　　　　低俗小说　　　　　　　　	   8.8    	  396045  	故事的高级讲法。　　
　　　　　　　　勇敢的心　　　　　　　　	   8.8    	  333847  	史诗大片的典范。　　
　　　　　　　剪刀手爱德华　　　　　　　	   8.7    	  561097  	浪漫忧郁的成人童话。
　　　　　　　沉默的羔羊　　　　　　　　	   8.8    	  408185  	安东尼·霍普金斯的顶级表演。
　　　　　　　　末代皇帝　　　　　　　　	   9.0    	  218654  	“不要跟我比惨，我比你更惨”再适合这部电影不过了。
　　　　　　　　大闹天宫　　　　　　　　	   9.3    	  128015  	经典之作，历久弥新。
　　　　　　　　蝴蝶效应　　　　　　　　	   8.7    	  445404  	人的命运被自己瞬间的抉择改变。
　　　　　　　　入殓师　　　　　　　　　	   8.8    	  354132  	死可能是一道门，逝去并不是终结，而是超越，走向下一程。
　　　　　　　　春光乍泄　　　　　　　　	   8.8    	  292170  	爱情纠缠，男女一致。
　　　　　　　　心灵捕手　　　　　　　　	   8.8    	  321884  	人生中应该拥有这样的一段豁然开朗。
　　　　　哈利·波特与魔法石　　　　　　	   8.8    	  323993  	童话世界的开端。　　
　　　　　　　玛丽和马克思　　　　　　　	   8.9    	  256955  	你是我最好的朋友，你是我唯一的朋友 。
　　　　　　阳光灿烂的日子　　　　　　　	   8.8    	  318074  	一场华丽的意淫。　　
　　　　　　布达佩斯大饭店　　　　　　　	   8.8    	  384326  	小清新的故事里注入了大历史的情怀。
　　　　　　　　禁闭岛　　　　　　　　　	   8.7    	  424256  	昔日翩翩少年，今日大腹便便。
　　　　　　　　幽灵公主　　　　　　　　	   8.8    	  272036  	人与自然的战争史诗。
　　　　　　　　第六感　　　　　　　　　	   8.8    	  271619  	深入内心的恐怖，出人意料的结局。
　　　　　　　　猫鼠游戏　　　　　　　　	   8.8    	  283786  	骗子大师和执著警探的你追我跑故事。 
　　　　　　　　重庆森林　　　　　　　　	   8.7    	  386802  	寂寞没有期限。　　　
　　　　　　　　　狩猎　　　　　　　　　	   9.1    	  158449  	人言可畏。　　　　　
　　　　　　　　致命ID　　　　　　　　	   8.7    	  372671  	最不可能的那个人永远是最可能的。
　　　　　　　　断背山　　　　　　　　　	   8.7    	  370884  	每个人心中都有一座断背山。
　　　　　　　　　大鱼　　　　　　　　　	   8.7    	  290948  	抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
　　　　　　穿条纹睡衣的男孩　　　　　　	   8.9    	  183764  	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
　　　　　　　加勒比海盗　　　　　　　　	   8.6    	  407143  	约翰尼·德普的独角戏。
　　　　　　　　　告白　　　　　　　　　	   8.7    	  393802  	没有一人完全善，也没有一人完全恶。
　　　　　　　　甜蜜蜜　　　　　　　　　	   8.8    	  262217  	相逢只要一瞬间，等待却像是一辈子。
　　　　　　　　　一一　　　　　　　　　	   8.9    	  178069  	我们都曾经是一一。　
　　　　　射雕英雄传之东成西就　　　　　	   8.7    	  316646  	百看不厌。 　　　　
　　　　　　　　阿凡达　　　　　　　　　	   8.6    	  612259  	绝对意义上的美轮美奂。
　　　　　　　　摩登时代　　　　　　　　	   9.2    	  108807  	大时代中的人生，小人物的悲喜。
　　　　　　　阳光姐妹淘　　　　　　　　	   8.8    	  310866  	再多各自牛逼的时光，也比不上一起傻逼的岁月。 
　　　　　　　　上帝之城　　　　　　　　	   8.9    	  175130  	被上帝抛弃了的上帝之城。
　　　　　　爱在黎明破晓前　　　　　　　	   8.7    	  258670  	缘分是个连绵词，最美不过一瞬。
　　　　　　　消失的爱人　　　　　　　　	   8.7    	  418737  	年度最佳date movie。
　　　　　　　　侧耳倾听　　　　　　　　	   8.8    	  200812  	少女情怀总是诗。　　
　　　　　　　　风之谷　　　　　　　　　	   8.8    	  201926  	动画片的圣经。　　　
　　　　　　爱在日落黄昏时　　　　　　　	   8.8    	  228901  	九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
　　　　　　　　倩女幽魂　　　　　　　　	   8.6    	  304423  	两张绝世的脸。 　　
　　　　　　　　　超脱　　　　　　　　　	   8.8    	  204387  	穷尽一生，我们要学会的，不过是彼此拥抱。
　　　　　　　　恐怖直播　　　　　　　　	   8.7    	  268022  	恐怖分子的“秋菊打官司”。
　　　　　　　　红辣椒　　　　　　　　　	   8.9    	  160455  	梦的勾结。　　　　　
　　　　　　　　喜剧之王　　　　　　　　	   8.6    	  376167  	我是一个演员。　　　
　　　　　　小森林 夏秋篇　　　　　　　	   8.9    	  164949  	那些静得只能听见呼吸的日子里，你明白孤独即生活。
　　　　　　　菊次郎的夏天　　　　　　　	   8.7    	  218638  	从没见过那么流氓的温柔，从没见过那么温柔的流氓。
　　　　　　　　驯龙高手　　　　　　　　	   8.7    	  332596  	和谐的生活离不开摸头与被摸头。
　　　　　　　幸福终点站　　　　　　　　	   8.7    	  256410  	有时候幸福需要等一等。 
　　　　　借东西的小人阿莉埃蒂　　　　　	   8.7    	  248862  	曾经的那段美好会沉淀为一辈子的记忆。
　　　　　　　　神偷奶爸　　　　　　　　	   8.5    	  445786  	Mr. I Don't Care其实也有Care的时候。
　　　　　　　　岁月神偷　　　　　　　　	   8.6    	  341304  	岁月流逝，来日可追。
　　　　　　　萤火虫之墓　　　　　　　　	   8.7    	  230560  	幸福是生生不息，却难以触及的远。 
　　　　　　　　七武士　　　　　　　　　	   9.2    	  89326   	时代悲歌。　　　　　
